Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,Material Name,New_Volume(L),Points,Material Old Name,MatL,MatSize,AuxMat,MatCom,MatPack
4/6/2023,B,ERW_BM2U2020110004,Retails,Samut Sakhon,141196,Mobil 1 0W-20,6224,10,"โมบิล 1 0W20 ,4/4",4,Big Carton,,Mobil 1,Carton
10/5/2023,B,ERW_BM2U2020110062,Retails,Nakhon Pathom,141196,Mobil 1 0W-20,880,10,"โมบิล 1 0W20 ,4/4",4,Big Carton,,Mobil 1,Carton
5/11/2023,D,ERW_DBG72020110082,Reseller,Songkhla,142212,Mobil 1 0W-20,4064,10,MOBIL 1 0W-20 CTN 2/4LT,4,Big Carton,,Mobil 1,Carton
5/19/2023,D,ERW_DBG72020110082,Reseller,Songkhla,142212,Mobil 1 0W-20,3184,10,MOBIL 1 0W-20 CTN 2/4LT,4,Big Carton,,Mobil 1,Carton
5/11/2023,D,ERW_DBG72020110082,Reseller,Songkhla,142212,Mobil 1 0W-20,196,10,MOBIL 1 0W-20 CTN 2/4LT,4,Big Carton,,Mobil 1,Carton
2/20/2023,A,ERW_AMBP2020110060,Retails,Bangkok,142212,Mobil 1 0W-20,768,10,MOBIL 1 0W-20 CTN 2X4L:TH,4,Big Carton,,Mobil 1,Carton
1/25/2023,A,ERW_AMBP2020110392,Retails,Bangkok,142212,Mobil 1 0W-20,5376,10,MOBIL 1 0W-20 CTN 2X4L:TH,4,Big Carton,,Mobil 1,Carton
5/16/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,142212,Mobil 1 0W-20,204,10,MOBIL 1 0W-20 CTN TH 2X4L/CAR,4,Big Carton,,Mobil 1,Carton
3/21/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,142212,Mobil 1 0W-20,7536,10,MOBIL 1 0W-20 CTN TH 2X4L/CAR,4,Big Carton,,Mobil 1,Carton
3/13/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,142212,Mobil 1 0W-20,4368,10,MOBIL 1 0W-20 CTN TH 2X4L/CAR,4,Big Carton,,Mobil 1,Carton
