,Province,Car,Sector,Sum Sector
0,Bangkok,12120846,BK&Central,14624293.0
1,Chai Nat,184893,Central,2503447.0
2,Sing Buri,145437,Central,
3,Lop Buri,454604,Central,
4,Ang Thong,162878,Central,
5,Saraburi,467168,Central,
6,Ayuthaya,542803,Central,
7,Pathum Thani,183643,Central,
8,Nonthaburi,184031,Central,
9,Samut Prakarn,177990,Central,
10,Nakhon Nayok,147328,Eastern,4471541.0
11,Prachin Buri,302332,Eastern,
12,Chachoengsao,446650,Eastern,
13,Chonburi,1817814,Eastern,
14,Rayong,871287,Eastern,
15,Chanthaburi,443127,Eastern,
16,Trad,139975,Eastern,
17,Sra Kaew,303028,Eastern,
18,Chaiyaphum,412965,North Eastern,9458953.0
19,Yasothon,227505,North Eastern,
20,Ubon Ratchathani,826099,North Eastern,
21,Si Sa Ket,458808,North Eastern,
22,Buri Rum,584475,North Eastern,
23,Nakhon Ratchasima,1508586,North Eastern,
24,Surin,517889,North Eastern,
25,Amnat Charoen,138671,North Eastern,
26,Nong Bua Lamphu,179952,North Eastern,
27,Bueng Kan,138981,North Eastern,
28,Nong Khai,219232,North Eastern,
29,Loei,305778,North Eastern,
30,Udon Thani,778720,North Eastern,
31,Nakhon Phanom,240943,North Eastern,
32,Sakon Nakhon,560766,North Eastern,
33,Khon Kaen,964007,North Eastern,
34,Kalasin,339056,North Eastern,
35,Maha Sarakham,393999,North Eastern,
36,Roi Et,470339,North Eastern,
37,Mukdahan,192182,North Eastern,
38,Chiang Rai,826725,Northern,7646631.0
39,Mae Hong Son,81479,Northern,
40,Chiang Mai,1625791,Northern,
41,Phayao,284174,Northern,
42,,264707,Northern,
43,Lamphun,285237,Northern,
44,Lampang,471660,Northern,
45,Phrae,280320,Northern,
46,Uttaradit,281539,Northern,
47,Sukhothai,348234,Northern,
48,Tak,268743,Northern,
49,Phitsanulok,589189,Northern,
50,Kamphaeng Phet,396652,Northern,
51,Phichit,306360,Northern,
52,Phetchabun,504230,Northern,
53,Nakhon Sawan,632525,Northern,
54,Uthai Thani,199066,Northern,
55,Suphan Buri,514536,Western,3114008.0
56,Khanchanaburi,430128,Western,
57,Nakhon Pathom,532168,Western,
58,Ratchaburi,551849,Western,
59,Samut Sakorn,273265,Western,
60,Samut Songkram,87067,Western,
61,Petchaburi,367871,Western,
62,Prachuap Kiri Khan,357124,Western,
63,Chumphon,325580,Southern,5376289.0
64,Ranong,108359,Southern,
65,Surat Thani,691017,Southern,
66,Pang Nga,130557,Southern,
67,Nakhon Si Thammarat,690148,Southern,
68,Krabi,288333,Southern,
69,Phuket,532659,Southern,
70,Phatthalung,268260,Southern,
71,Trang,374637,Southern,
72,Songkhla,938858,Southern,
73,Satun,144345,Southern,
74,Pattani,275932,Southern,
75,Yala,328621,Southern,
76,Narathiwat,278983,Southern,
