,Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,Material Name,New_Volume(L),Points,Month
0,2023-09-06,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145577,MOBIL SUPER FRICTION FIGHTER TURBOSPEED 10W-30 4x7L/CAR,11676,2,9
1,2023-12-20,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145577,MOBIL SUPER FRICTION FIGHTER TURBOSPEED 10W-30 4x7L/CAR,5768,2,12
2,2023-08-11,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143160,MOBIL DELVAC SUPER 1400 15W-40 4X6+1L/CAR,11088,2,8
3,2023-03-10,A,ERW_AMBP2020110291,Reseller,Nakhon Ratchasima,143160,MOBIL DELVAC SUPER 1400 15W-40 4X6+1L/CAR,2912,2,3
4,2023-03-10,A,ERW_AMBP2020110291,Reseller,Nakhon Ratchasima,143160,MOBIL DELVAC SUPER 1400 15W-40 4X6+1L/CAR,7168,2,3
5,2023-05-31,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,145438,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE PAIL20L :TH,112,1,5
6,2023-05-31,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,8180,2,5
7,2023-09-18,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145498,MOBIL DELVAC Legend 15W40(CH-4) 20L,7840,2,9
8,2023-09-19,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145498,MOBIL DELVAC Legend 15W40(CH-4) 20L,4500,2,9
9,2023-09-25,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,2420,2,9
10,2023-12-20,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145497,MOBIL DELVAC Legend 15W40(CH-4) 4/7,10360,2,12
11,2023-03-31,C,ERW_C08P2020090096,Reseller,Phetchabun,145474,MOBIL DELVAC MODERN 15W-40 S DEFENSE CTN 4X7L: TH,5376,2,3
12,2023-04-19,C,ERW_C08P2020090096,Reseller,Phetchabun,145497,MOBIL DELVAC Legend 15W40(CH-4) 4/7,13160,2,4
13,2023-03-23,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,141539,MOBIL DELVAC SUPER 1400 15W40 4/6+1,7672,2,3
14,2023-05-17,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,MOBIL DELVAC Legend 15W40(CH-4) 4/7,10612,2,5
15,2023-05-30,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,MOBIL DELVAC Legend 15W40(CH-4) 4/7,7112,2,5
16,2023-09-06,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145474,MOBIL DELVAC MODERN 15W-40 S DEFENSE CTN 4X7L: TH,11032,2,9
17,2023-09-21,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145474,MOBIL DELVAC MODERN 15W-40 S DEFENSE CTN 4X7L: TH,8596,2,9
18,2023-06-26,A,ERW_AMBP2020110384,Retails,Rayong,145577,MOBIL SUPER FRICTION FIGHTER TURBOSPEED 10W-30 4x7L/CAR,11536,2,6
19,2023-04-19,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143877,MOBIL SUPER ALL-IN-ONE Pro TURBOSPEED 5W30 4/7,3724,1,4
20,2023-02-24,A,ERW_ADG22021040108,Retails,Khon Kaen,143160,MOBIL DELVAC SUPER 1400 15W-40 4X6+1L/CAR,6188,2,2
21,2023-10-10,A,ERW_AMBP2020110203,Retails,Trat,143160,MOBIL DELVAC SUPER 1400 15W-40 4X6+1L/CAR,168,2,10
22,2023-06-21,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143160,MOBIL DELVAC SUPER 1400 15W-40 4X6+1L/CAR,7420,2,6
23,2023-10-10,A,ERW_AMBP2020110291,Reseller,Nakhon Ratchasima,145497,MOBIL DELVAC Legend 15W40(CH-4) 4/7,5740,2,10
